chromosome	position 1	position 2	2.R2	1.R1	2.R1	1.R2	3.R2	3.R1	1.R3
Y	7672	10275	558	1847	1148	667	1234	1752	588
Y	5343	21509	113	503	249	153	235	467	147
W	2192	2192	410	876		470	757	796	814
Z	23975	24112				1919			513
Z	18632	22057				1110			427
W	3014	3699	471	987		453	768	786	671
Z	14933	22742				1510			541
Z	1507	11508				1002			375
Z	11508	13837				1956			574
Y	12330	13152	427	1496	885	623	856	1358	483
Z	5206	13837				1424			454
X	2329	12467	203	322			754	584	503
Y	11097	20824	344	1324	747	463	665	1098	406
W	7535	9042	399	760		375	609	684	576
W	548	8357	130	269		139	244	258	309
X	2877	10823	373	404			685	539	859
X	959	10001	360	295			494	720	645
Z	5617	18769				1034			364
Z	274	3836				1517			391
Y	8905	10549	419	2184	978	766	1059	1788	583
Z	3699	8768				1827			534
Z	6850	18495				693			254
X	0	14522	156	181			288	338	359
Z	19591	23564				1101			285
X	11097	14796	751	843			1513	1318	1604
Z	9316	20139				971			334
Y	3151	15618	249	671	407	239	526	826	312
X	8905	13015	596	581			997	866	1166
Y	17399	15755	325	1475	649	482	685	1310	473
Z	0	9316				925			365
Z	12741	16988				1198			419
Y	6439	13426	314	1438	550	413	687	1283	458
X	4247	10686	704	805			1158	1226	1674
Z	14385	19317				1306			471
Y	18906	18495	376	1811	886	523	934	1594	581
Z	1507	22879				416			139
Z	2192	13837				1054			374
Z	8220	10275				1513			449
W	548	10549	175	322		203	309	331	278
Y	2603	17536	98	347	210	146	260	405	143
X	7535	12056	596	891			1019	985	1132
Z	7809	27263				795			276
Z	8768	20824				873			304
Z	3014	10549				1282			474
X	8631	13700	586	664			1051	1104	1191
Y	12604	14522	539	1185	939	616	898	1501	551
Y	3288	14933	196	994	555	377	530	679	310
Z	10138	13563				1534			565
Y	10549	11782	447	2157	851	709	965	1670	553
Z	5617	15481				954			323
Z	26441	26989				1338			513
Y	8357	12193	446	1272	752	557	1146	1813	453
Z	3288	24660				402			138
Y	822	2603	267	1211	604	406	644	1181	359
Z	4658	5891				1538			502
X	4110	5206	861	971			1361	1452	1745
Z	7809	15344				1206			490
X	10686	14385	652	670			1064	999	1281
Z	12467	27263				1087			317
Z	18221	23016				1231			375
Y	20687	17125	337	1299	720	570	765	1649	457
Y	137	6439	336	1311	587	388	717	1180	425
Y	3973	14385	262	1086	463	365	440	717	363
Z	6713	20550				594			198
Z	21372	22194				1261			421
Z	11371	13563				1465			650
Y	1918	18906	75	378	140	118	173	286	102
Z	5891	18906				862			328
Z	4932	20276				835			221
Z	2192	17262				784			420
Z	5480	20961				622			258
Z	7261	16303				1675			522
Y	1233	5343	410	1702	605	516	774	1353	490
Z	5206	25756				575			203
Z	8494	20002				696			247
Z	6987	24934				749			227
Z	5891	25208				441			183
Z	2055	24934				549			224
Y	0	3562		1433	697	503	716	1311	426
Z	25619	27126				1158			438
X	1781	8083	518	551			688	708	669
Z	12056	22742				1322			300
Z	1781	11371				1068			413
Y	4384	8357	441	1751	768	566	747	1476	454
Y	411	5891	356	1510	747	513	624	1166	546
Y	9864	12467	402	1475	895	556	1025	1766	573
W	3425	4521	664	960		529	798	955	749
Z	11508	27126				671			207
Y	18221	14659	242	1410	619	395	747	1262	402
Z	19454	23153				937			383
Y	14385	15344	379	1472	847	572	1165	1575	575
Y	9864	13563	364	1234	683	492	698	1300	440
Y	1918	17947	82	406	188	111	178	314	106
W	5891	10275	408	855		354	670	669	597
Z	23564	25893				1306			421
Z	3014	19180				907			253
X	6165	13015	594	591			840	802	953
Z	7672	19454				749			214
Z	3562	6028				1632			573
Z	2192	23701				768			293
Y	548	12741	163	958	518	261	429	666	307
Z	3562	24797				505			122
Z	1781	6302				1204			424
Z	1507	25756				307			106
Z	2740	15755				1107			410
Y	5343	6439	520	1768	857	585	860	1584	475
W	3562	5069	585	999		515	789	1069	852
Z	4247	20824				665			238
Z	14659	25071				862			349
Z	7124	14659				1158			322
Y	6439	15892	339	1281	620	448	948	1078	387
Z	685	21646				292			116
Y	8494	14796	365	1438	632	586	772	1232	493
Z	10138	11508				1991			643
Z	822	13015				1226			247
Z	1781	1918				2641			816
Y	3836	19591	237	846	430	276	455	817	235
X	8494	10138	818	1080			1368	1328	1455
X	10138	15892	439	518			929	723	868
Z	1370	25893				226			73
Z	14933	26304				1090			288
Y	18495	15344	246	1164	513	444	816	1110	467
Y	9453	16303	309	1385	528	464	625	1323	483
Y	12741	20550	327	1155	791	361	694	1222	337
X	7946	9316	731	772			1234	1457	1621
X	14111	16303	500	525				930	1005
Z	7124	9727				1215			375
Z	5754	22057				998			261
Y	2466	20687	138	771	296	182	282	470	241
Z	411	23427				638			164
Z	7535	17536				921			286
Y	1233	5206	329	1312	665	452	729	1140	474
Y	685	2192	332	1128	588	336	815	1305	337
X	9316	14248	618	815			914	945	1013
X	1918	16303	69	181				364	399
Z	8905	16851				970			380
Z	548	20687				331			116
W	10275	10686	691	1381		871	1101	1165	1269
Y	2603	11234	289	1164	519	464	674	983	485
X	2329	15755	116	169			360	322	226
Z	8357	13152				1195			513
Z	15070	22057				1386			403
X	11371	12330	900	1017				1193	1724
X	10138	16029	427	621			876	752	849
Z	17536	21509				1259			455
Z	14522	25756				1268			370
Y	685	5617	373	1467	682	502	884	1567	498
Z	8220	11234				1384			432
Z	12741	25482				991			268
W	1644	10138	202	385		210	405	328	367
Y	12741	18358	282	1291	554	448	701	1185	469
Y	959	10138	215	895	425	331	512	760	245
X	6302	6850	827	1028			1734	2007	2092
Z	13700	20276				1211			330
Z	7398	13974				1198			314
Y	7261	21235	301	1255	489	366	615	868	455
Z	9042	19591				924			312
Y	3562	10960	348	967	400	379	520	931	340
Z	17947	18221				1527			546
Y	4658	5754	442	1660	971	674	941	1586	568
Z	137	11097				851			291
Y	2055	2740	355	1494	845	595	969	1494	519
Z	2329	16029				1382			487
Y	7946	9864	440	1782	814	662	1087	1439	622
Z	17125	25482				1176			350
X	1507	5206	589	580			1072	1000	1196
X	6165	11645	672	697			1119	986	1184
Y	274	1233	377	1602	748	464	715	1107	449
Y	6165	8083	566	2022	936	755	1076	1927	601
Z	1370	15344				1303			378
Y	3836	15892	141	625	352	182	272	563	201
Z	4521	15344				934			369
Y	1096	3014	308	1265	768	450	754	1354	415
X	7124	13974	395	494			851	734	808
Y	5891	18495	226	773	349	344	493	931	292
Z	25071	25482				1143			472
W	4384	8494	316	857		360	582	544	673
Z	16029	22468				1038			386
Z	21098	25345				1146			392
Y	1096	5617	284	1357	644	492	807	1188	590
Y	1507	3836	318	1338	499	460	630	1276	356
X	9864	13015	597	510			1082	1013	1231
Z	21509	23290				1156			379
X	8494	9727	782	1162			1409	1250	2085
Z	6165	23701				492			241
Z	548	10001				908			319
Z	16577	22057				1126			491
Y	20550	15070	395	1571	829	640	856	1447	509
Z	3151	20550				845			271
X	11645	13426	626	769			1068	1253	1288
Y	2603	3836	339	1306	641	420	568	1168	431
Y	1644	16988	187	580	424	274	344	689	263
W	2877	9864	245	467		318	383	344	380
Z	11371	19317				1173			436
Z	5754	22742				908			274
Y	3151	17262	185	637	298	221	342	539	207
Y	6439	12467	379	1545	859	524	834	1441	555
Z	12467	27126				756			339
Y	3973	12604	228	1063	400	439	521	1027	403
Z	12878	22605				848			343
Z	3014	20002				858			222
W	6165	10138	477	676		462	701	913	721
Z	2055	8083				1535			504
Y	20824	15207	455	1889	812	549	961	1454	561
Z	7398	22331				638			193
X	3562	12878	258	431			507	538	637
Z	8768	19728				887			302
Y	8220	13152	354	1584	758	549	911	1414	536
Z	2877	11645				1392			456
Z	14796	21509				1245			436
X	15892	16303	583	764				1074	1393
Z	8220	19728				723			215
Z	8357	27126				1039			210
Y	5480	9727	285	1071	689	434	709	1366	411
Y	10275	12056	513	1652	906	645	1011	1585	577
Z	3014	9590				1424			542
Z	6713	15344				1516			485
X	2603	15207	139	202			308	384	285
X	1096	7398	580	580			1069	1076	1031
Y	1644	8631	330	1176	640	376	667	1432	491
Z	16303	23975				1415			493
Y	10001	18495	248	986	463	298	485	895	346
Z	4110	6302				1485			542
Z	16577	21509				1127			368
Z	11508	20002				1082			411
W	548	4110	483	935		459	655	697	696
Y	0	15892		429	240	117	305	409	132
Z	20550	26304				755			300
Z	6028	12330				1228			406
X	7535	8083	720	838			1139	1087	1291
X	7946	10412	638	917			1268	1273	1210
X	8083	13700	525	628			1125	1033	1164
Z	2192	26989				569			186
Y	5754	10686	301	1353	628	477	670	990	427
W	3151	3425	464	750		572	726	828	821
Z	3014	15755				978			389
X	3425	4384	717	838			1247	1590	1567
X	3836	7809	766	871			1000	1349	1345
Y	8357	18906	247	1127	542	362	546	1005	342
Y	4110	12604	214	1250	497	385	559	883	400
Z	0	8905				1263			394
Z	8220	8905				1300			432
Y	7398	17262	299	961	491	404	710	983	363
Z	3014	25482				673			268
Z	959	11508				1119			327
Z	6713	18632				832			247
W	4521	9179	295	675		540	608	545	598
Y	1507	17262	199	578	275	182	414	497	251
W	1096	4658	371	718		422	486	576	628
Y	8631	16440	228	1228	629	348	661	1256	362
Y	2055	20687	165	559	277	199	278	626	198
Y	13015	18358	299	1232	613	470	687	1171	416
Y	11645	15070	518	1668	797	568	1061	1904	631
Z	5069	22742				626			211
W	1781	8357	211	356		134	263	310	306
X	3425	12741	457	395			641	541	594
Z	8631	18769				881			323
Z	15755	19043				1309			404
Z	6302	18358				984			370
X	3425	8905	606	750			896	1060	1454
Z	8905	10001				1697			492
Z	1096	23975				611			203
Z	17262	19043				1264			434
Y	10686	21098	277	1258	750	464	680	1092	473
Z	10549	14248				1714			522
Y	7809	12056	503	1574	1183	560	731	1218	504
Y	7809	14659	369	1170	675	611	947	1409	410
Z	13563	25893				1154			380
X	4932	6028	814	1172			1938	1657	2132
X	5754	12604	459	539			802	838	942
Z	11371	22605				945			373
Z	11097	24797				611			211
X	5754	13426	580	658			1186	1076	1227
Z	822	3425				1446			507
Y	137	11645	170	774	335	256	413	866	264
Z	17536	22468				1210			478
Z	1370	26578				435			154
Z	8768	10001				1725			571
Y	4658	11782	330	1035	542	377	595	923	280
X	9042	15070	385	468			609	804	991
X	3151	13700	406	441			755	808	1027
W	2329	9727	267	470		266	425	469	414
Z	15207	22742				946			361
Z	3973	12467				1090			344
Z	3836	10960				1512			544
Z	13563	23427				947			248
Z	4384	26030				587			176
Y	8768	21372	247	903	484	331	677	1029	401
Z	1644	16988				923			328
Y	4795	14385	261	1055	444	432	553	819	390
W	2603	6165	302	846		292	556	526	577
Z	3836	15207				1024			409
Z	16166	20824				1199			446
Y	6713	9727	469	1976	1104	871	1077	1971	642
Z	2877	25208				392			110
Z	548	22879				373			103
Z	1096	26989				363			122
Y	12056	18632	258	1353	502	308	678	960	402
Z	685	16988				820			221
X	2055	9042	459	500			709	803	729
W	5754	5754	643	1076		626	996	1179	1031
Z	13837	20413				1094			368
Z	1096	20687				388			153
Z	3151	14248				1487			460
Y	6850	16988	232	1410	667	414	621	1225	527
W	411	1507	434	834		491	831	698	610
Y	7261	11234	473	1983	865	662	918	1969	653
Y	6165	13837	302	1212	648	456	736	1314	495
Y	1507	14248	163	727	277	239	352	742	219
Z	18084	18221				1324			501
Y	959	6713	308	1309	666	369	667	1214	443
Z	8768	18495				1104			348
Z	8494	9727				1249			485
X	4384	9316	570	685			1068	1061	1004
W	0	3699	384	878		331	710	608	697
Y	20002	20002	542	2147	1020	861	1266	1912	709
Y	1644	7535	367	1269	794	481	791	1334	539
Z	19043	27263				857			256
Z	8494	13426				1221			475
Z	10138	23290				792			285
Y	4110	21098	93	317	160	180	233	387	148
Y	21372	15618	363	1677	741	520	707	1478	543
Z	2055	6713				1582			489
Y	2329	8494	368	1284	624	492	675	1188	460
Z	16988	22194				1507			436
Z	15207	27126				1076			447
X	3699	10549	471	635			992	1118	986
W	2329	4247	392	716		489	713	661	550
X	3562	4795	843	1323			1546	1549	1702
X	2329	16166	99	132			303	284	309
Y	3699	3699	396	1609	846	484	849	1563	564
X	1096	9864	292	443			611	743	624
Z	6850	23975				814			264
Z	14111	23975				961			316
X	12193	13700	611	712			919	1351	1234
Z	8905	23701				529			227
Z	15207	20139				1128			410
Y	6576	10001	472	2265	872	669	1114	1776	708
Z	2329	24660				661			328
Y	9864	16029	459	1343	699	497	672	1129	473
Y	8768	11919	429	1716	891	680	946	1698	567
Z	3562	24523				454			265
Y	4110	6165	462	1713	831	589	870	1569	687
Z	12741	13837				1340			466
Z	7398	25619				804			171
Y	14248	18495	407	1460	631	480	678	1375	480
Z	24934	26167				1728			443
Y	2466	4247	341	1121	509	399	739	1020	411
Z	1644	14933				801			383
Y	11645	16029	380	1393	654	614	742	1526	492
Z	20550	21920				1276			404
Z	17262	26167				989			313
Z	14796	16440				1937			579
Z	13152	14659				1804			549
Z	23016	23564				1668			576
W	685	2329	462	877		484	606	686	839
Z	15070	15344				1693			664
Y	0	21509		59	171	46	123	109	61
Y	7946	19865		1239	443	398	654	1338	373
X	8631	14796	428	604			672	766	993
Y	411	19317	171	511	276	200	268	386	166
Y	411	14385	180	808	385	340	410	830	253
Y	3836	11097	256	961	485	393	506	989	321
W	2329	7672	333	586		320	432	430	547
Y	548	7672	255	1126	727	484	761	1099	374
W	0	9042	108	174		90	139	153	173
Z	3699	20139				827			270
Y	3699	5480	425	1535	702	654	855	1677	523
Z	1233	11919				1145			328
Z	4795	26304				473			110
W	2192	6302	307	815		305	546	610	484
Z	5754	8083				1227			395
Y	8631	17536	226	1022	476	269	598	857	326
W	2740	4795	400	689		394	601	723	671
X	0	8494	327	341			596	555	589
Z	7946	12056				1249			403
X	4932	12604	449	539			659	773	967
Z	6302	17125				1111			362
Z	3014	21920				640			210
Z	2055	12056				1305			314
Z	822	6439				1214			394
Y	9453	11371	415	1718	921	571	1012	1680	677
W	2603	9727	324	462		316	427	343	498
X	4110	9042	501	627			1041	952	1025
Y	17947	15207	329	1315	622	388	729	974	379
X	548	6165	521	577			799	942	1127
Y	11371	14385	337	1504	762	450	872	1803	527
W	1918	6576	345	765		348	714	599	602
Z	8631	9727				1340			598
Z	21235	21783				1126			441
X	2329	15618	157	181			327	392	315
Z	5206	6850				1395			576
Z	5206	10549				1592			525
Y	5343	10686	302	1291	692	455	497	1081	438
Y	0	17399		287	123	89	211	243	101
Z	22057	26852				967			358
Z	9179	12330				1403			486
Z	5754	12878				1139			394
Z	2055	18221				558			202
Z	274	27126				407			161
Z	8768	20139				931			307
Y	0	9453		964	430	333	622	845	308
Z	12878	25756				833			245
Z	13837	14659				1795			598
X	411	16303	197	150				259	378
X	411	1918	456	668			955	1029	1275
Z	1781	5891				1262			523
Y	12741	19728	280	1502	613	527	857	1353	614
X	7809	11234	519	714			1023	1328	1325
X	11371	15344	708	820			1071	1207	1313
Y	685	9179	246	848	444	314	596	1255	413
Z	6713	22057				596			212
Z	17125	17947				1474			467
Z	15207	17536				1780			631
Y	13426	20550	275	1223	690	403	771	1000	497
W	7672	8083	604	746		483	716	756	701
Z	1233	5480				1121			554
Z	14659	16303				1632			491
Z	23290	23290				1776			494
Z	25482	25482				1880			631
X	11508	12467	677	909			1526	1287	1553
W	1096	6302	286	589		297	433	362	507
Y	21098	14933	424	1763	820	663	710	1291	538
X	1644	4384	530	934			1260	1407	1970
Z	7946	21783				632			199
Z	11371	21372				1219			290
Y	7124	11782	482	1497	941	631	977	1569	535
Y	21235	18769	309	1431	620	446	766	1403	488
X	7398	10549	1039	798			1575	1652	1497
Z	13563	26852				738			207
X	12467	13700	548	675			1072	924	1303
W	2877	4247	468	912		510	816	787	837
Z	16851	25619				1051			397
Z	1233	7535				1568			428
Y	3699	15618	192	649	286	246	634	794	194
Y	1918	13563	168	690	417	249	352	647	289
Z	11919	21920				1086			422
Y	12467	21783	235	1049	421	290	493	1020	342
Z	14522	15755				1944			538
Y	2877	21235	169	547	333	202	344	556	140
X	9453	14659	557	514			954	903	929
Y	2329	4521	281	1148	580	353	641	1110	346
X	8220	10001	894	959			1068	1363	1608
Z	5480	25619				671			226
Z	10001	21098				972			383
Z	2603	6576				1448			541
Z	6302	9864				1804			529
X	1781	8905	434	351			751	690	745
Y	5891	9590	361	1382	645	401	902	1231	571
X	0	15481	203	142			271	371	370
Y	13563	14933	406	1474	795	526	1106	1790	550
Z	12193	25893				761			285
Z	7124	22057				806			205
Z	5480	21372				883			288
W	685	7672	277	482		338	390	418	395
Z	5617	19865				976			247
Z	137	23701				498			145
Y	3425	11097	257	967	490	322	540	947	403
W	3151	10412	250	445		260	286	347	449
Y	1644	12741	264	822	573	267	425	618	225
X	12878	15755	655	634			909	1110	1254
Z	10960	15070				1787			549
Z	24797	25619				1403			490
Z	4795	21646				1025			285
X	10412	11645	720	1015			1278	1337	1580
Y	10960	13289	361	1183	702	551	823	1355	469
X	10275	13563	649	845			1203	1342	1447
W	5069	9179	405	728		354	694	713	519
Z	18084	22879				1459			470
W	548	9727	237	340		191	360	342	325
X	3562	13152	341	420			608	610	644
Y	274	4521	412	1392	566	589	612	1119	440
Y	12741	18906	249	1388	504	467	783	1449	429
W	4932	8494	391	570		351	723	551	594
Z	9864	18632				1187			385
Y	1233	7535	328	1299	549	415	700	974	430
Y	3836	20276	185	487	271	167	245	413	213
Z	3562	16440				941			281
Y	9179	13563	389	1277	798	403	809	1365	473
Z	6439	21372				784			261
Z	7946	13015				1072			376
Z	24523	26167				1566			487
Y	4932	9179	387	1167	533	432	798	1016	429
Y	137	12467	164	743	304	222	563	918	231
Y	6028	19728	270	923	515	327	589	949	300
Z	19043	25756				1213			324
W	137	7124	317	556		289	508	519	531
Z	14111	20276				1400			458
Y	9864	17673	250	1037	456	324	474	962	355
Y	6576	11097	405	1995	801	667	964	1811	655
Z	5754	10275				1972			569
Z	20139	23564				1136			327
X	6302	10686	909	884			1474	1473	1255
W	6302	8494	463	897		502	709	701	861
Z	21783	23838				1233			382
Y	1507	19317	114	314	151	109	289	325	112
Y	959	3014	244	1445	599	416	758	1158	359
Z	6165	15481				1164			347
Y	10001	20413	325	1216	694	443	652	1316	450
W	411	3014	361	719		403	648	674	673
Z	22194	26715				1145			325
Y	11645	18358	247	1245	490	313	547	867	381
Z	2877	26578				261			120
Z	12741	13152				1383			535
Z	4521	7809				1241			475
Z	822	7535				1332			508
Z	14385	25208				934			375
Z	13563	17947				1475			622
Z	18358	25208				1143			359
Z	7261	16440				1289			460
Z	2740	12878				1130			488
Y	20550	17125	353	1767	791	458	852	1455	528
Z	15344	24660				1376			447
Z	6576	15207				1404			443
Y	4521	14796	190	969	432	315	611	881	288
X	10412	16303	730	671				890	1279
Z	19591	26167				867			281
Y	20139	18221	364	1576	682	640	674	1502	471
Z	1918	23564				792			196
Y	10001	10275	427	1905	1001	653	910	1770	703
W	3151	8494	219	628		249	486	437	387
Z	20139	21920				1182			395
X	6576	9727	744	744			1137	1595	1388
Z	10823	20002				1166			391
X	9590	13837	746	850			1134	1019	1357
X	4247	16029	244	381			492	600	572
W	274	6576	361	573		341	549	484	483
Z	9590	12878				1334			413
Y	10275	14522	440	1553	814	596	720	1262	591
Z	13152	24797				953			273
Z	6165	13974				1210			443
X	7809	11645	552	650			886	805	1029
Y	1370	10001	274	1065	564	413	512	940	350
Z	20687	27126				875			289
Z	21098	22605				1405			402
X	9453	15481	432	484			774	807	736
Z	12330	26167				800			281
Y	11508	17673	235	1081	462	348	669	861	401
X	11234	13563	633	927			1402	933	1107
X	10960	12193	947	1162			1341	1669	1505
W	1644	3014	469	722		488	682	655	518
Z	11782	21509				1024			430
X	11645	11782	733	956			1731	1389	1754
Y	13563	20687	308	1251	610	401	721	1032	473
X	7261	8357	584	882			1125	1274	1355
X	6028	13974	587	656			1135	1071	1116
Y	20550	18084	301	1513	747	448	658	925	426
Y	9179	13015	457	1253	798	573	785	1279	474
Y	822	4110	396	1243	763	486	788	1334	542
Y	4795	15618	183	720	322	288	456	711	242
Z	2466	4932				1483			496
Z	17673	20550				1320			361
Y	137	2603	262	1113	514	408	747	1054	386
Z	3151	23153				521			191
X	1096	6987	587	717			1138	1217	1311
X	6850	11097	687	898			1242	1549	1595
Z	16714	17125				1551			474
Z	8494	16851				1262			338
W	3288	6850	456	769		425	755	735	675
Z	1781	18769				558			205
Z	6576	17399				809			332
Z	19728	21783				943			385
Z	8357	11234				1218			607
Z	4658	16988				959			368
Z	3973	14522				1443			487
Y	2466	10001	320	1280	551	366	782	1249	382
X	2466	12330	195	353				474	749
Z	7946	23290				831			315
Z	20413	26578				944			270
Z	22879	27263				1315			306
Z	9316	10686				1999			533
Y	5617	6713	427	1969	862	800	1059	1724	694
W	3562	7124	428	755		440	715	805	641
Y	6850	9179	449	2205	983	836	1025	2036	809
X	2466	10138	404	545			801	806	947
Y	2740	10823	280	1373	665	412	722	1178	459
Z	11097	25208				600			242
Z	2055	23838				891			276
Z	4932	7809				1358			454
Y	19454	16303	279	1387	518	473	625	1047	324
X	2740	3699	643	812			1299	1261	1447
Y	5343	10412	294	1272	555	409	695	1229	385
W	959	5343	379	553		412	581	572	651
W	959	3425	388	593		370	810	608	587
Y	12467	14933	499	1737	950	627	757	1198	644
Y	12056	19043	242	1086	493	306	631	983	378
Z	2877	11919				1556			379
Z	6028	14933				1237			388
Z	548	18495				439			138
X	274	15481	240	249			342	428	372
Z	1096	6165				1406			418
Z	3425	12467				1087			389
X	5343	13015	481	539			769	822	996
Z	6850	7124				1762			545
Y	3014	14111	173	641	395	276	454	689	220
Y	1233	12467	216	729	314	278	377	647	254
Z	3014	9453				1903			466
Z	18221	26304				961			295
X	12193	14659	647	818			1215	1297	1140
Z	3288	6439				2017			545
Y	7672	14796	397	1302	799	584	745	1311	465
Z	7261	26441				601			184
Z	19728	26852				671			261
X	4658	5069	1063	1131		748	1579	1866	2055
Y	2603	8357	317	1347	599	376	695	1224	464
Z	4384	13289				1468			412
Y	9727	14796	368	1548	1016	558	762	1369	569
Z	5891	13563				1212			490
Z	8083	13837				1090			417
X	5069	5069	977	1240			1928	2065	2230
Z	1781	19043				485			151
Z	3014	12056				1344			467
Z	12193	18632				1066			393
Z	6576	25071				742			267
Z	3836	23290				533			161
Z	3836	18221				982			300
Z	8220	17947				793			364
Z	4932	18495				817			324
X	1507	12193	296	402			611	837	720
Z	1644	14796				893			250
Y	6439	6713	482	2688	1215	773	1322	2607	743
Y	1781	3151	330	1463	660	452	792	1160	489
X	6987	11645	570	756			1283	1114	1506
Z	2466	20687				484			160
Y	1644	10138	254	1157	580	506	645	1357	371
Z	9179	19043				942			346
Z	2740	14933				964			306
Y	13563	16303	308	1052	573	451	851	1399	403
Y	12193	16714	336	1436	549	552	842	1183	449
Z	4932	17810				1068			368
W	137	7672	258	532		342	406	460	391
Z	22468	22468				1647			513
Z	21235	26030				976			422
Y	1781	5343	361	1274	498	454	613	1078	347
Z	15618	22468				1471			328
Z	7535	25482				588			179
Z	20824	22605				966			401
W	4247	5891	618	1272		781	1210	1225	1099
Y	5891	17810	227	838	387	335	397	745	317
W	1918	8357	177	347		170	250	316	303
Z	1918	17810				737			224
Z	20687	21509				1203			412
X	11919	15481	502	860			1070	1249	1074
Z	10412	25208				727			239
Y	6165	15618	284	1104	652	398	541	971	331
Z	7535	7672				1532			553
Y	3425	10960	250	988	446	355	505	883	345
Z	19591	26852				988			267
Z	685	20276				525			117
W	2877	4658	520	1077		463	783	818	816
Z	12330	20824				811			291
Z	7124	26167				569			297
Y	4247	17947	186	819	429	221	460	683	215
Y	10549	10686	519	1790	895	818	1051	1632	689
Y	14248	18632	352	1480	657	449	856	1629	448
Z	2740	21372				471			237
Z	16440	19454				1087			434
Z	822	9590				1255			433
X	137	1918	480	780			888	1026	1158
Z	9864	24523				726			264
X	1370	3836	579	790			1115	1101	1101
Z	25619	26167				1223			456
Y	7672	15618	357	1588	725	554	782	1134	423
Y	822	9179	239	1027	416	398	543	851	315
Y	10275	18084	232	810	503	296	424	813	324
Y	6165	14111	382	1348	787	527	732	1424	532
Z	18084	26578				866			233
X	822	4110	590	843			1196	1039	1768
Z	10001	10549				1918			569
X	8220	12056	519	633			946	909	992
Z	10001	16303				1183			393
Y	10686	13700	344	1343	803	467	729	1389	537
Z	9179	26441				592			167
Z	8083	9727				1205			407
Y	137	7946	268	1430	528	416	584	980	396
Y	21509	16166	363	1178	662	566	639	1171	421
Z	17125	23153				1106			405
Z	1918	17262				810			324
W	274	1233	403	800		528	754	857	737
Z	5069	22057				887			255
X	10001	14248	718	831			1359	1347	1580
Y	19043	18906	397	1596	799	559	873	1597	511
Z	12056	15344				1696			585
Y	3151	7124	446	1434	925	569	942	1463	541
Z	23016	27263				1423			389
X	548	16029	157	254			311	373	306
X	4521	13837	351	407			824	628	643
Y	5069	12604	216	1112	413	494	658	1079	461
Y	3699	9042	320	1089	534	461	736	1053	360
X	4521	14248	439	412			544	633	742
Y	3151	18906	116	453	255	163	248	379	146
Z	3973	6028				1669			606
X	274	5754	587	547			879	935	922
Z	16577	27263				1140			440
X	10001	13974	633	877			1223	1175	1196
Z	5206	11097				1515			467
Y	12741	15344	446	1596	824	401	974	1464	447
W	5069	9453	395	821		367	680	745	639
X	1644	7809	431	533			783	682	930
Y	2877	3836	301	966	673	365	829	1221	411
Y	9864	15207	419	1634	902	622	901	1272	620
Z	9590	26167				737			256
Y	8220	14385	425	1340	894	517	693	1096	581
Z	5617	14248				1416			401
Z	4932	13974				1147			459
X	4384	14659	369	397			792	846	919
Z	6850	25482				442			154
Z	9179	16166				1465			428
Z	6576	14248				971			338
Z	6850	10549				1169			377
Z	10412	13974				2028			516
Y	6576	19865		875	364	324	396	770	287
Z	13152	23016				1201			269
X	13289	15892	557	667			1012	1027	917
Z	1918	13152				1182			348
X	2740	4795	721	794			1294	1225	1748
Z	0	24797				539			159
Y	2192	10960	301	1185	561	496	712	1012	424
Z	17262	22742				1279			567
Z	17262	27126				934			300
W	5754	8083	427	902		416	640	650	603
Y	411	6850	288	1228	614	464	1051	1305	494
Z	12604	15207				1421			625
Y	5480	18495	247	1122	483	326	474	954	395
Z	13837	26441				720			204
Z	14796	26167				960			310
Y	822	12330	174	760	397	251	449	681	210
Y	18358	15344	234	1368	568	400	668	1208	458
X	548	6028	579	611			1008	920	1215
Z	12056	18495				1414			397
W	3288	4795	531	681		519	708	791	694
W	0	6302	232	495		257	422	464	422
X	2055	5480	665	542			862	1102	1190
Y	1644	11645	275	1030	477	332	745	990	358
Z	6439	16714				1036			440
Y	137	4521	392	1317	615	528	579	1310	527
W	4521	8083	305	691		541	671	617	852
Z	23701	27263				1444			524
Y	9179	18906	229	961	492	347	501	840	297
W	3562	6165	546	1152		656	784	851	953
Z	17262	25619				1073			410
Y	5754	13837	328	1302	838	515	823	1386	428
Z	16988	23838				1032			431
Z	14522	24797				873			303
W	2329	3973	509	585		480	744	706	900
X	4110	13015	460	510			981	664	881
Z	14796	19180				1376			533
Z	9590	20961				1178			340
Y	4795	9316	296	1193	703	493	775	1035	391
Z	3288	11097				1532			464
X	685	14385	136	171			247	280	298
Z	1781	16988				917			261
Z	4795	8357				1076			390
Y	5206	16029	193	822	320	249	386	931	287
Z	6576	6576				1344			546
Y	9727	16166	300	1286	614	519	795	1245	507
Z	13974	16029				1850			457
X	5891	12878	595	582			882	960	1183
W	3425	5891	566	1153		532	698	855	820
X	4247	8494	565	661			974	1171	1155
Z	15207	18358				1389			449
Y	7672	11097	462	1720	950	552	986	1623	569
X	822	14111	143	185			320	306	288
Y	959	8220	329	1395	636	530	843	1265	469
Z	2055	18769				700			170
Y	2740	18495	97	366	184	204	188	445	135
Z	3151	16166				1190			301
Z	11782	27263				543			235
Y	13152	13837	460	1933	827	662	1005	1608	526
Z	11645	20961				1172			347
Z	12878	18906				937			324
W	5069	9316	357	805		362	750	652	640
Z	6439	21098				995			238
Z	17399	17947				1300			443
